run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,test_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_epoch,best_dev_f1,dev_acc,total_params,trainable_params,checkpoint_path,dev_out_path,test_out_path,phase,method_name
2,lora-adam-trial2,True,adam,False,linear,1200,400,400,4,5e-05,0.0,0,16,32.0,0.0,0.6946888053417206,3,0.38271604938271603,0.62,125621762,591362,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/trial_2_lora-adam-trial2.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_2_lora-adam-trial2_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_2_lora-adam-trial2_test.csv,tuning,lora-adam
3,lora-adam-trial3,True,adam,False,linear,1200,400,400,4,0.0002,0.0,0,8,16.0,0.0,0.5952862298488617,3,0.6280867699921664,0.6825,125326850,296450,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/trial_3_lora-adam-trial3.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_3_lora-adam-trial3_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_3_lora-adam-trial3_test.csv,tuning,lora-adam
4,lora-adam-trial4,True,adam,False,linear,1200,400,400,4,0.0001,0.0,0,16,32.0,0.1,0.666581546664238,3,0.38271604938271603,0.62,125621762,591362,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/trial_4_lora-adam-trial4.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_4_lora-adam-trial4_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_4_lora-adam-trial4_test.csv,tuning,lora-adam
5,lora-adam-trial5,True,adam,False,linear,1200,400,400,4,5e-05,0.0,0,8,32.0,0.1,0.6461644279956817,3,0.38271604938271603,0.62,125326850,296450,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/trial_5_lora-adam-trial5.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_5_lora-adam-trial5_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_5_lora-adam-trial5_test.csv,tuning,lora-adam
6,lora-adam-trial6,True,adam,False,linear,1200,400,400,4,0.0002,0.0,0,8,32.0,0.1,0.5790692746639252,3,0.6041165442271019,0.6925,125326850,296450,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/trial_6_lora-adam-trial6.pt,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_6_lora-adam-trial6_dev.csv,results/paraphrase_tuned_then_compare_small/phase1_tuning/method_3_lora-adam/predictions/trial_6_lora-adam-trial6_test.csv,tuning,lora-adam
1,lora-adamw-cosine-focus-trial1,True,adamw,True,cosine,1200,400,400,8,5e-05,0.05,10,16,32.0,0.05,0.6502273452281951,4,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_1_lora-adamw-cosine-focus-trial1.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_1_lora-adamw-cosine-focus-trial1_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_1_lora-adamw-cosine-focus-trial1_test.csv,tuning,lora-adamw-cosine
2,lora-adamw-cosine-focus-trial2,True,adamw,True,cosine,1200,400,400,8,0.0001,0.01,50,8,32.0,0.05,0.6189635795354843,6,0.4230712624731404,0.63,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_2_lora-adamw-cosine-focus-trial2.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_2_lora-adamw-cosine-focus-trial2_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_2_lora-adamw-cosine-focus-trial2_test.csv,tuning,lora-adamw-cosine
3,lora-adamw-cosine-focus-trial3,True,adamw,True,cosine,1200,400,400,8,5e-05,0.05,50,8,32.0,0.0,0.6415586137771606,6,0.38271604938271603,0.62,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_3_lora-adamw-cosine-focus-trial3.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_3_lora-adamw-cosine-focus-trial3_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_3_lora-adamw-cosine-focus-trial3_test.csv,tuning,lora-adamw-cosine
4,lora-adamw-cosine-focus-trial4,True,adamw,True,cosine,1200,400,400,8,0.0003,0.0,20,16,16.0,0.05,0.6243621343374253,7,0.38884644766997706,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_4_lora-adamw-cosine-focus-trial4.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_4_lora-adamw-cosine-focus-trial4_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_4_lora-adamw-cosine-focus-trial4_test.csv,tuning,lora-adamw-cosine
5,lora-adamw-cosine-focus-trial5,True,adamw,True,cosine,1200,400,400,8,5e-05,0.05,10,8,16.0,0.0,0.650133695602417,4,0.38271604938271603,0.62,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_5_lora-adamw-cosine-focus-trial5.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_5_lora-adamw-cosine-focus-trial5_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_5_lora-adamw-cosine-focus-trial5_test.csv,tuning,lora-adamw-cosine
6,lora-adamw-cosine-focus-trial6,True,adamw,True,cosine,1200,400,400,8,0.0002,0.01,0,16,32.0,0.1,0.6379253554344178,7,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_6_lora-adamw-cosine-focus-trial6.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_6_lora-adamw-cosine-focus-trial6_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_6_lora-adamw-cosine-focus-trial6_test.csv,tuning,lora-adamw-cosine
7,lora-adamw-cosine-focus-trial7,True,adamw,True,cosine,1200,400,400,8,0.0003,0.05,0,16,16.0,0.05,0.6457018285989762,6,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_7_lora-adamw-cosine-focus-trial7.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_7_lora-adamw-cosine-focus-trial7_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_7_lora-adamw-cosine-focus-trial7_test.csv,tuning,lora-adamw-cosine
8,lora-adamw-cosine-focus-trial8,True,adamw,True,cosine,1200,400,400,8,5e-05,0.01,0,16,32.0,0.05,0.6568956851959229,4,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_8_lora-adamw-cosine-focus-trial8.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_8_lora-adamw-cosine-focus-trial8_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_8_lora-adamw-cosine-focus-trial8_test.csv,tuning,lora-adamw-cosine
9,lora-adamw-cosine-focus-trial9,True,adamw,True,cosine,1200,400,400,8,0.0003,0.0,0,16,32.0,0.05,0.6191883838176727,7,0.4272224157281629,0.6325,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_9_lora-adamw-cosine-focus-trial9.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_9_lora-adamw-cosine-focus-trial9_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_9_lora-adamw-cosine-focus-trial9_test.csv,tuning,lora-adamw-cosine
10,lora-adamw-cosine-focus-trial10,True,adamw,True,cosine,1200,400,400,8,0.0003,0.05,50,8,16.0,0.05,0.5239072167873382,6,0.7307692307692308,0.7525,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_10_lora-adamw-cosine-focus-trial10.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_10_lora-adamw-cosine-focus-trial10_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_10_lora-adamw-cosine-focus-trial10_test.csv,tuning,lora-adamw-cosine
11,lora-adamw-cosine-focus-trial11,True,adamw,True,cosine,1200,400,400,8,5e-05,0.01,10,16,32.0,0.0,0.6591407108306885,5,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_11_lora-adamw-cosine-focus-trial11.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_11_lora-adamw-cosine-focus-trial11_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_11_lora-adamw-cosine-focus-trial11_test.csv,tuning,lora-adamw-cosine
12,lora-adamw-cosine-focus-trial12,True,adamw,True,cosine,1200,400,400,8,0.0001,0.0,0,4,16.0,0.1,0.6324784076213836,7,0.5405332746780067,0.635,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_12_lora-adamw-cosine-focus-trial12.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_12_lora-adamw-cosine-focus-trial12_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_12_lora-adamw-cosine-focus-trial12_test.csv,tuning,lora-adamw-cosine
13,lora-adamw-cosine-focus-trial13,True,adamw,True,cosine,1200,400,400,8,0.0003,0.05,10,4,16.0,0.1,0.5135082036256791,7,0.7206933377146143,0.745,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_13_lora-adamw-cosine-focus-trial13.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_13_lora-adamw-cosine-focus-trial13_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_13_lora-adamw-cosine-focus-trial13_test.csv,tuning,lora-adamw-cosine
14,lora-adamw-cosine-focus-trial14,True,adamw,True,cosine,1200,400,400,8,0.0002,0.05,10,16,32.0,0.1,0.6574173331260681,0,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_14_lora-adamw-cosine-focus-trial14.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_14_lora-adamw-cosine-focus-trial14_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_14_lora-adamw-cosine-focus-trial14_test.csv,tuning,lora-adamw-cosine
15,lora-adamw-cosine-focus-trial15,True,adamw,True,cosine,1200,400,400,8,5e-05,0.05,10,16,32.0,0.0,0.6591956442594529,5,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_15_lora-adamw-cosine-focus-trial15.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_15_lora-adamw-cosine-focus-trial15_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_15_lora-adamw-cosine-focus-trial15_test.csv,tuning,lora-adamw-cosine
16,lora-adamw-cosine-focus-trial16,True,adamw,True,cosine,1200,400,400,8,0.0001,0.01,10,16,32.0,0.1,0.6413858330249786,4,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_16_lora-adamw-cosine-focus-trial16.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_16_lora-adamw-cosine-focus-trial16_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_16_lora-adamw-cosine-focus-trial16_test.csv,tuning,lora-adamw-cosine
17,lora-adamw-cosine-focus-trial17,True,adamw,True,cosine,1200,400,400,8,0.0002,0.0,10,4,32.0,0.05,0.5279704678058624,7,0.686932215234102,0.72,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_17_lora-adamw-cosine-focus-trial17.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_17_lora-adamw-cosine-focus-trial17_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_17_lora-adamw-cosine-focus-trial17_test.csv,tuning,lora-adamw-cosine
18,lora-adamw-cosine-focus-trial18,True,adamw,True,cosine,1200,400,400,8,0.0002,0.01,20,4,16.0,0.05,0.5714836198091507,7,0.6676092992096059,0.68,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_18_lora-adamw-cosine-focus-trial18.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_18_lora-adamw-cosine-focus-trial18_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_18_lora-adamw-cosine-focus-trial18_test.csv,tuning,lora-adamw-cosine
19,lora-adamw-cosine-focus-trial19,True,adamw,True,cosine,1200,400,400,8,0.0002,0.0,10,4,16.0,0.0,0.5741589730978012,7,0.645298778569181,0.69,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_19_lora-adamw-cosine-focus-trial19.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_19_lora-adamw-cosine-focus-trial19_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_19_lora-adamw-cosine-focus-trial19_test.csv,tuning,lora-adamw-cosine
20,lora-adamw-cosine-focus-trial20,True,adamw,True,cosine,1200,400,400,8,5e-05,0.01,10,8,32.0,0.1,0.647517728805542,6,0.38271604938271603,0.62,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_20_lora-adamw-cosine-focus-trial20.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_20_lora-adamw-cosine-focus-trial20_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_20_lora-adamw-cosine-focus-trial20_test.csv,tuning,lora-adamw-cosine
21,lora-adamw-cosine-focus-trial21,True,adamw,True,cosine,1200,400,400,8,0.0001,0.0,50,16,16.0,0.05,0.6528105700016021,4,0.38271604938271603,0.62,125621762,591362,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_21_lora-adamw-cosine-focus-trial21.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_21_lora-adamw-cosine-focus-trial21_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_21_lora-adamw-cosine-focus-trial21_test.csv,tuning,lora-adamw-cosine
22,lora-adamw-cosine-focus-trial22,True,adamw,True,cosine,1200,400,400,8,0.0003,0.0,10,4,16.0,0.05,0.5135435286164284,7,0.7264336838683902,0.7475,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_22_lora-adamw-cosine-focus-trial22.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_22_lora-adamw-cosine-focus-trial22_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_22_lora-adamw-cosine-focus-trial22_test.csv,tuning,lora-adamw-cosine
23,lora-adamw-cosine-focus-trial23,True,adamw,True,cosine,1200,400,400,8,5e-05,0.01,20,4,32.0,0.0,0.6482688307762146,7,0.39688794177958264,0.62,125179394,148994,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_23_lora-adamw-cosine-focus-trial23.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_23_lora-adamw-cosine-focus-trial23_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_23_lora-adamw-cosine-focus-trial23_test.csv,tuning,lora-adamw-cosine
24,lora-adamw-cosine-focus-trial24,True,adamw,True,cosine,1200,400,400,8,0.0002,0.05,0,8,32.0,0.0,0.5056231123209,6,0.7507068772100165,0.7625,125326850,296450,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/focus_24_lora-adamw-cosine-focus-trial24.pt,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_24_lora-adamw-cosine-focus-trial24_dev.csv,results/paraphrase_lora_adamw_focus_v2/lora_adamw_focus_checks/predictions/focus_24_lora-adamw-cosine-focus-trial24_test.csv,tuning,lora-adamw-cosine
