run_id,run_name,use_lora,optim_algorithm,use_scheduler,scheduler_type,train_subset_size,dev_subset_size,epochs,lr,weight_decay,warmup_steps,lora_r,lora_alpha,lora_dropout,best_dev_loss,best_dev_ppl,best_epoch,total_params,trainable_params,checkpoint_path,generated_sonnet_path,phase,method_name
8,full-adamw-cosine-trial8,False,adamw,True,cosine,200,80,6,1e-05,0.01,20,,,,4.342139128212617,76.87180222686706,5,163627776,163627776,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_2_full-adamw-cosine/trial_8_full-adamw-cosine-trial8.pt,,tuning,full-adamw-cosine
1,lora-adam-trial1,True,adam,False,linear,200,80,6,0.0001,0.0,0,8,16.0,0.05,4.416356737368575,82.79409458152706,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_1_lora-adam-trial1.pt,,tuning,lora-adam
2,lora-adam-trial2,True,adam,False,linear,200,80,6,0.0003,0.0,0,16,16.0,0.0,4.331956809926256,76.09304059720138,3,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_2_lora-adam-trial2.pt,,tuning,lora-adam
3,lora-adam-trial3,True,adam,False,linear,200,80,6,0.0003,0.0,0,8,16.0,0.05,4.367867585654571,78.87525751098349,3,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_3_lora-adam-trial3.pt,,tuning,lora-adam
4,lora-adam-trial4,True,adam,False,linear,200,80,6,5e-05,0.0,0,16,16.0,0.0,4.529819096360251,92.74178223851683,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_4_lora-adam-trial4.pt,,tuning,lora-adam
5,lora-adam-trial5,True,adam,False,linear,200,80,6,5e-05,0.0,0,16,16.0,0.05,4.53864366763106,93.56381039420543,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_5_lora-adam-trial5.pt,,tuning,lora-adam
6,lora-adam-trial6,True,adam,False,linear,200,80,6,0.0003,0.0,0,4,32.0,0.1,4.389061901056878,80.5648057605445,2,163775232,38744832,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_6_lora-adam-trial6.pt,,tuning,lora-adam
7,lora-adam-trial7,True,adam,False,linear,200,80,6,0.0002,0.0,0,16,32.0,0.05,4.346266131534755,77.18970795782172,3,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_7_lora-adam-trial7.pt,,tuning,lora-adam
8,lora-adam-trial8,True,adam,False,linear,200,80,6,0.0001,0.0,0,16,16.0,0.0,4.388154217015917,80.49171155033508,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_3_lora-adam/trial_8_lora-adam-trial8.pt,,tuning,lora-adam
1,lora-adamw-cosine-trial1,True,adamw,True,cosine,200,80,6,0.0001,0.05,20,16,32.0,0.1,4.52647813458309,92.43245250604727,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_1_lora-adamw-cosine-trial1.pt,,tuning,lora-adamw-cosine
2,lora-adamw-cosine-trial2,True,adamw,True,cosine,200,80,6,0.0001,0.0,0,8,32.0,0.05,4.530805641245619,92.833321315724,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_2_lora-adamw-cosine-trial2.pt,,tuning,lora-adamw-cosine
3,lora-adamw-cosine-trial3,True,adamw,True,cosine,200,80,6,0.0002,0.01,10,16,16.0,0.1,4.409079721040815,82.193787474825,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_3_lora-adamw-cosine-trial3.pt,,tuning,lora-adamw-cosine
4,lora-adamw-cosine-trial4,True,adamw,True,cosine,200,80,6,0.0002,0.05,20,16,16.0,0.0,4.401609331647927,81.58205565903847,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_4_lora-adamw-cosine-trial4.pt,,tuning,lora-adamw-cosine
5,lora-adamw-cosine-trial5,True,adamw,True,cosine,200,80,6,0.0002,0.0,10,4,32.0,0.1,4.394019296236127,80.96518894910675,5,163775232,38744832,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_5_lora-adamw-cosine-trial5.pt,,tuning,lora-adamw-cosine
6,lora-adamw-cosine-trial6,True,adamw,True,cosine,200,80,6,0.0002,0.0,20,8,16.0,0.0,4.421808118018035,83.24666916399556,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_6_lora-adamw-cosine-trial6.pt,,tuning,lora-adamw-cosine
7,lora-adamw-cosine-trial7,True,adamw,True,cosine,200,80,6,5e-05,0.01,0,16,16.0,0.05,4.733028091002848,113.63915156884325,5,164217600,39187200,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_7_lora-adamw-cosine-trial7.pt,,tuning,lora-adamw-cosine
8,lora-adamw-cosine-trial8,True,adamw,True,cosine,200,80,6,0.0003,0.05,10,8,32.0,0.05,4.391829731308412,80.78810435087883,5,163922688,38892288,results/sonnet_four_way/four_way_tuned_then_final/phase1_tuning/method_4_lora-adamw-cosine/trial_8_lora-adamw-cosine-trial8.pt,,tuning,lora-adamw-cosine
